site,plant.year,year,plot,abg,decomp,floral.cov,alpha.hill1,age,plant.height,SLA,seed.mass,FDis,ANDGER
1,2016,2019,1,466,0.008695652,10.15,4.102274626,3,0.78865829,6.90175914,0.63919734,1.217190172,0
1,2016,2019,2,403,0.008881988,5.78,10.53317539,3,0.751716587,12.2119092,0.968087442,1.399736009,2.5
1,2016,2019,3,379,0.002795031,9.25,6.266800996,3,0.946086987,9.94424592,1.110293173,1.81416656,20
1,2016,2019,4,458,0.009813665,13.31,6.863975295,3,0.804399469,10.10743872,0.966259609,1.633878873,4
1,2016,2020,5,410,0.000559006,7.6,4.52892542,4,0.88153289,7.2649637,0.770811205,1.566249719,15
1,2016,2020,6,401,0.004037267,10.85,5.219102759,4,0.754608417,9.028715212,0.590908703,1.455470263,0
1,2016,2020,7,529,0.002236025,11,6.267872577,4,0.747571498,12.05798325,0.547324755,1.633836845,0
1,2016,2020,8,286,0.000434783,3.87,6.955925306,4,0.967100037,13.10250608,1.260892248,1.78615301,21
2,2015,2019,1,541,0.00515528,1.82,4.401808572,4,1.047675958,9.78951291,1.2392394,1.870951506,45
2,2015,2019,2,474,0.010993789,3.2,6.231445762,4,0.815756171,9.415788571,0.901131748,1.722082503,15
2,2015,2019,3,371,0.006149068,1.2,3.326422015,4,1.179421818,12.12414361,1.496547518,1.607490085,70
2,2015,2019,4,391,0.005093168,3.59,3.559014763,4,1.081901073,9.210400647,1.206694197,1.91244288,50
2,2015,2020,5,485,0.003664596,1.5,2.81342422,5,0.773334811,6.721902188,0.800889847,1.443118334,20
2,2015,2020,6,624,0.001055901,0.25,2.103409107,5,0.782765771,6.866716458,0.822147521,1.540706926,25
2,2015,2020,7,451,0.001242236,0.3,2.527196948,5,1.027202016,9.302553519,1.212376028,2.077821547,50
2,2015,2020,8,384,0.007267081,0.56,5.017072595,5,1.0921417,11.15370077,1.278022965,1.792675198,35
3,2014,2019,1,433,0.007018634,0.05,3.460322396,5,0.619999454,7.623339168,0.735340111,0.964580509,2
3,2014,2019,2,551,0.010124224,0.94,4.40254412,5,0.717269251,7.38418086,0.895496045,1.384107927,12
3,2014,2019,3,366,0.009440994,0.5,2.326028183,5,0.676380002,13.39891986,1.639175791,0.950110509,8
3,2014,2019,4,884,0.014347826,0.06,2.227085093,5,0.679447904,13.63066331,1.712334596,0.835941623,8
3,2014,2020,5,529,0.001863354,1.22,4.338626949,6,0.908332793,9.506765696,0.8732283,1.93574272,25
3,2014,2020,6,697,0.000993789,9.9,3.751872575,6,0.770587021,9.126440234,0.694605459,1.518722936,3
3,2014,2020,7,544,0.00173913,0.02,2.867952873,6,0.729571309,12.56937775,1.589927839,1.330789471,15
3,2014,2020,8,1429,0.005900621,0,2.616592558,6,0.995465557,12.45794643,1.661411772,1.859726666,65
4,2016,2019,1,483,0.009192547,10.28,4.476806601,3,0.760085011,12.72518303,0.877749323,1.358294138,0.2
4,2016,2019,2,557,0.012608696,5.11,4.85118888,3,0.794542601,14.4967244,1.010426579,1.115826121,1
4,2016,2019,3,541,0.009813665,8.92,5.5443466,3,0.888157746,14.06563677,0.743467977,1.415319106,0.4
4,2016,2019,4,477,0.005093168,7.22,3.871826226,3,0.760336514,9.723563932,0.858189573,1.451661634,0
4,2016,2020,5,256,0.000372671,3.48,3.502343307,4,0.793494347,16.46395488,1.222098998,0.673916444,6
4,2016,2020,6,267,0.000559006,2.4,6.04054835,4,0.869778587,11.67289198,1.123149336,1.85251886,15
4,2016,2020,7,414,0.00310559,2.18,6.815802467,4,0.884070833,11.76189586,1.156819288,1.619461655,15
4,2016,2020,8,356,0.001552795,6.04,6.963881471,4,0.854576623,9.741108922,0.891435174,1.809423034,13
5,2014,2019,1,860,0.01068323,0.35,4.986526159,5,0.802292192,8.613418566,0.877252925,1.691822065,15
5,2014,2019,2,766,0.00689441,0.9,3.743103134,5,1.103360123,10.31289901,1.329286655,1.89526613,50
5,2014,2019,3,690,0.009068323,0,2.382078496,5,1.227119366,10.71052723,1.48585445,1.45060885,75
5,2014,2019,4,879,0.01136646,0.01,5.08608075,5,0.997976459,9.374231571,1.233604909,1.953369189,35
5,2014,2020,5,915,0.00173913,0,1.583490087,6,1.293734625,11.09425752,1.574671231,1.059270346,90
5,2014,2020,6,1144,0.006086957,0,1.540799462,6,1.301348875,11.18704247,1.588091281,1.001342586,95
