NMDS1,NMDS2,plant.year,year,age
-1.108310782,-0.008593505,2014,2015,1
-2.003444611,-0.425738437,2014,2015,1
0.354867821,-0.292759828,2014,2015,1
-3.399471789,0.014119877,2014,2015,1
-3.716109155,-0.013978427,2014,2015,1
-0.760737555,-0.07377533,2014,2015,1
-6.520458585,0.235655653,2014,2015,1
-4.519463885,0.072551502,2014,2015,1
-4.190935646,0.078215584,2014,2015,1
-3.08223977,0.025137248,2014,2015,1
-3.77113221,0.042007191,2014,2015,1
-2.022151125,-0.310665502,2014,2015,1
-1.040594204,-0.049219552,2014,2015,1
-2.890365336,0.038007994,2014,2015,1
-3.253498568,0.015149841,2014,2015,1
-1.143111435,-0.19354343,2014,2015,1
-3.249028612,0.02342094,2014,2015,1
-2.903180319,-0.057823924,2014,2015,1
-3.538850461,0.047549296,2015,2015,0
-3.671832932,0.042199848,2015,2015,0
-2.949211466,-0.107467176,2015,2015,0
-4.772813957,0.128076028,2015,2015,0
-7.045753317,0.120271345,2015,2015,0
-2.430656049,0.051285498,2015,2015,0
-1.661516882,-0.034452783,2015,2015,0
-2.108985098,0.076217703,2015,2015,0
0.132567942,-0.020692693,2015,2015,0
-2.414549953,-0.046573971,2015,2015,0
-6.510066429,0.139798241,2015,2015,0
-4.486443459,0.056719976,2015,2015,0
-3.00163898,0.003417214,2015,2015,0
-3.926618493,0.048047785,2015,2015,0
-2.767986802,0.041193608,2015,2015,0
-3.890015119,0.050083627,2015,2015,0
-3.735403463,0.032029917,2015,2015,0
-2.394157468,0.048950131,2015,2015,0
0.321730506,-0.031056184,2014,2016,2
-2.842466523,-0.197888686,2014,2016,2
-0.515226264,-0.422323508,2014,2016,2
-3.437940438,0.089177509,2014,2016,2
-2.624831553,0.003670189,2014,2016,2
-1.476295494,-0.087340415,2014,2016,2
-5.10551529,0.069971412,2014,2016,2
-3.121431479,0.073623075,2014,2016,2
-2.948825949,0.040174753,2014,2016,2
-3.247168208,0.001885687,2014,2016,2
-4.039602794,0.038721402,2014,2016,2
-3.011319013,-0.3956741,2014,2016,2
-1.246563795,-0.101010317,2014,2016,2
-3.203311627,-0.199480942,2014,2016,2
-2.093724184,-0.103285296,2014,2016,2
-2.385110101,-0.205091164,2014,2016,2
-3.770662026,0.031428471,2014,2016,2
-3.104096214,0.033921359,2014,2016,2
-2.384300161,0.057202134,2015,2016,1
-3.468067481,0.036083847,2015,2016,1
-3.716633403,0.061298978,2015,2016,1
-2.258627393,0.101268408,2015,2016,1
-3.921240433,0.071125855,2015,2016,1
-0.815729721,0.144094986,2015,2016,1
-4.386911371,0.098553497,2015,2016,1
-4.595644352,0.114976393,2015,2016,1
2.335152788,0.278524583,2015,2016,1
-3.169601956,0.051030789,2015,2016,1
-4.397508213,0.060707179,2015,2016,1
-5.238515382,0.056495468,2015,2016,1
-1.879214536,-0.116874849,2015,2016,1
-4.068860229,-0.013624951,2015,2016,1
-0.569338244,0.105826377,2015,2016,1
-3.866885432,0.077468758,2015,2016,1
-2.192911187,-0.027777752,2015,2016,1
-1.839491589,0.086918783,2015,2016,1
-6.362688839,0.161322933,2016,2016,0
-4.279821986,0.40104496,2016,2016,0
-3.705064771,0.048271566,2016,2016,0
-5.020978101,0.113462581,2016,2016,0
-13.45555678,0.355234934,2016,2016,0
-6.790076607,0.161669223,2016,2016,0
-3.522357863,0.036777061,2016,2016,0
-3.522357863,0.036777061,2016,2016,0
-4.029016718,-0.382888528,2016,2016,0
-3.775239306,-0.164680641,2016,2016,0
-7.164318202,0.151608602,2016,2016,0
-3.613927493,-0.025877428,2016,2016,0
-9.205723861,0.307121747,2016,2016,0
0.634309833,-0.049202371,2014,2019,5
0.982395103,-0.017458468,2014,2019,5
2.547544646,-0.358776108,2014,2019,5
3.388031182,-0.25746168,2014,2019,5
4.855554621,0.053117845,2014,2019,5
2.167644267,-0.45670974,2014,2019,5
2.887309371,0.355149948,2014,2019,5
2.277316219,-0.505821092,2014,2019,5
3.349829212,0.009950591,2014,2019,5
3.292026862,-0.309963494,2014,2019,5
5.588619647,0.256343328,2014,2019,5
3.432906456,-0.247838156,2014,2019,5
5.928828686,0.610427016,2014,2019,5
6.170519782,0.420640373,2014,2019,5
0.144608515,-0.485417706,2014,2019,5
-0.088808789,-0.552400571,2014,2019,5
